Group,Score
A,50
A,74
A,91
A,47
A,73
A,50
A,36
A,97
A,58
A,45
A,37
A,71
A,39
A,75
A,84
A,51
A,86
A,64
A,35
A,83
A,91
A,85
A,63
A,95
A,92
A,84
A,65
A,51
A,58
A,75
B,100
B,38
B,61
B,61
B,93
B,48
B,78
B,59
B,61
B,67
B,34
B,41
B,71
B,66
B,55
B,42
B,62
B,79
B,94
B,80
B,48
B,65
B,86
B,44
B,40
B,98
B,92
B,88
B,41
B,53
C,99
C,40
C,78
C,50
C,34
C,71
C,85
C,35
C,72
C,46
C,86
C,43
C,38
C,79
C,86
C,49
C,49
C,65
C,83
C,85
C,69
C,96
C,35
C,82
C,79
C,89
C,94
C,72
C,56
C,98
